Year,Trial,Trial.duration,Reef,Deployment.day,Treatment,Initial.size,Final.size,Initial.sex,Growth,Final.sex,Final.sex.female.transitional.equals.female,final.Weight.g,Male,Female,Transitional,Immature
2017,1,14,3,A,Low,23,24,female,1,female,female,0.25,0,1,0,0
2017,1,14,3,A,Low,28,29,female,1,female,female,0.43,0,1,0,0
2017,1,14,3,A,Low,32,35,male,3,male,male,0.74,1,0,0,0
2017,1,14,4,A,High,25,26,female,1,female,female,0.31,0,1,0,0
2017,1,14,4,A,High,28,28,female,0,female,female,0.39,0,1,0,0
2017,1,14,4,A,High,28,28,female,0,female,female,0.39,0,1,0,0
2017,1,14,4,A,High,29,30,female,1,female,female,0.47,0,1,0,0
2017,1,14,4,A,High,26,27,female,1,female,female,0.35,0,1,0,0
2017,1,14,4,A,High,27,27,female,0,female,female,0.35,0,1,0,0
2017,1,14,4,A,High,32,34,female,2,female,female,0.68,0,1,0,0
2017,1,14,4,A,High,31,31,female,0,female,female,0.52,0,1,0,0
2017,1,14,4,A,High,NA,13,immature,NA,immature,immature,0.04,0,0,0,1
2017,1,14,4,A,High,NA,11,immature,NA,immature,immature,0.03,0,0,0,1
2017,1,14,4,A,High,NA,12,immature,NA,immature,immature,0.03,0,0,0,1
2017,1,14,4,A,High,NA,13,immature,NA,immature,immature,0.04,0,0,0,1
2017,1,14,4,A,High,NA,14,immature,NA,immature,immature,0.05,0,0,0,1
2017,1,14,4,A,High,NA,12,immature,NA,immature,immature,0.03,0,0,0,1
