year,trial,trial.duration.days,reef,treatment,initial.size,final.size,initial.sex,growth,final.sex,weight,gravid,Sex.change,Male,Female,Transitional,Immature,notes,"total recollections (out of 360 for T4 and T5 ,out of 400 for T6)",
2018,July,30,4,Low,25,27,F,2,M,0.35,NA,1,1,0,0,0,,,
2018,July,30,4,Low,30,31,F,1,M,0.52,NA,1,1,0,0,0,,,
2018,July,30,4,Low,23,26,F,3,F,0.35,3,0,0,1,0,0,,,
2018,July,30,5,Medium,30,33,F,3,M,0.87,NA,1,1,0,0,0,,,
2018,July,30,5,Medium,31,32,F,1,F,0.65,3,0,0,1,0,0,,,
2018,July,30,5,Medium,29,31,F,2,F,0.5,1,0,0,1,0,0,,,
2018,July,30,5,Medium,29,31,F,2,F,0.54,0,0,0,1,0,0,,,
2018,July,30,5,Medium,28,28,F,0,F,0.51,2,0,0,1,0,0,,,
2018,July,30,5,Medium,32,35,M,3,T,0.74,NA,1,0,0,1,0,,,
2018,July,30,5,Medium,29,31,F,2,M,0.83,NA,1,1,0,0,0,,,
2018,July,30,6,High,30,32,F,2,T,0.56,NA,1,0,0,1,0,,,
2018,July,30,6,High,NA,20,NA,#VALUE!,F,0.17,0,NA,0,1,0,0,,,
2018,July,30,6,High,NA,14,NA,#VALUE!,I,NA,NA,NA,0,0,0,1,,,
2018,July,30,6,High,28,29,F,1,F,0.42,0,0,0,1,0,0,,,
2018,July,30,7,Medium,20,26,F,6,F,0.32,0,0,0,1,0,0,,,
2018,July,30,7,Medium,22,26,F,4,F,0.29,0,0,0,1,0,0,,,
2018,July,30,7,Medium,35,36,M,1,M,0.82,NA,0,1,0,0,0,,,
2018,July,30,7,Medium,32,36,M,4,M,0.89,NA,0,1,0,0,0,,,
2018,July,30,7,Medium,29,34,F,5,M,0.69,NA,1,1,0,0,0,,,
2018,July,30,7,Medium,28,29,F,1,F,0.45,1,0,0,1,0,0,,,
2018,July,30,7,Medium,29,31,F,2,F,0.53,0,0,0,1,0,0,,,
2018,July,30,7,Medium,27,28,F,1,F,0.43,2,0,0,1,0,0,,,
2018,July,30,7,Medium,20,25,F,5,F,0.32,0,0,0,1,0,0,,,
2018,July,30,8,Low,NA,21,NA,#VALUE!,M,0.17,NA,NA,1,0,0,0,,,
2018,July,30,8,Low,NA,21,NA,#VALUE!,I,0.13,NA,NA,0,0,0,1,,,
2018,July,30,8,Low,30,35,F,5,M,0.69,NA,1,1,0,0,0,,,
2018,July,30,8,Low,33,34,M,1,T,0.71,NA,1,0,0,1,0,,,
2018,July,30,8,Low,31,31,F,0,F,0.53,0,0,0,1,0,0,,,
2018,July,30,8,Low,29,30,F,1,F,0.46,0,0,0,1,0,0,,,
2018,July,30,8,Low,29,28,F,-1,F,0.44,1,0,0,1,0,0,,,
2018,July,30,8,Low,29,32,F,3,F,0.54,0,0,0,1,0,0,,,
2018,July,30,9,High,NA,21,NA,#VALUE!,F,0.21,0,NA,0,1,0,0,,,
2018,July,30,9,High,32,34,M,2,F,0.64,0,1,0,1,0,0,,,
2018,July,30,9,High,33,35,M,2,M,0.77,NA,0,1,0,0,0,,,
2018,July,30,10,Medium,23,25,F,2,F,0.31,3,0,0,1,0,0,,,
2018,July,30,10,Medium,28,29,F,1,M,0.4,NA,1,1,0,0,0,,,
2018,July,30,10,Medium,39,39,M,0,M,0.91,NA,0,1,0,0,0,,,
2018,July,30,10,Medium,32,36,M,4,M,0.87,NA,0,1,0,0,0,,,
2018,July,30,10,Medium,28,29,F,1,F,0.39,0,0,0,1,0,0,,,
2018,July,30,11,Low,NA,11,NA,#VALUE!,I,0.02,NA,NA,0,0,0,1,,,
2018,July,30,11,Low,NA,23,NA,#VALUE!,F,0.22,0,NA,0,1,0,0,,,
2018,July,30,11,Low,NA,20,NA,#VALUE!,M,0.16,NA,NA,1,0,0,0,,,
2018,July,30,11,Low,29,31,F,2,M,0.5,NA,1,1,0,0,0,,,
2018,July,30,11,Low,27,28,F,1,F,0.38,0,0,0,1,0,0,,,
2018,July,30,11,Low,27,30,F,3,F,0.49,1,0,0,1,0,0,,,
2018,July,30,11,Low,34,35,M,1,M,0.68,NA,0,1,0,0,0,,,
2018,July,30,12,High,NA,21,NA,#VALUE!,I,0.17,NA,NA,0,0,0,1,,,
2018,July,30,13,Low,NA,20,NA,#VALUE!,I,0.16,NA,NA,0,0,0,1,,,
2018,July,30,14,Medium,25,31,F,6,M,0.52,NA,1,1,0,0,0,,,
2018,July,30,14,Medium,29,30,F,1,T,0.49,NA,1,0,0,1,0,,,
2018,July,30,14,Medium,29,31,F,2,F,0.51,0,0,0,1,0,0,,,
2018,July,30,14,Medium,NA,26,NA,#VALUE!,F,0.28,0,NA,0,1,0,0,,,
2018,July,30,14,Medium,28,31,F,3,F,0.5,1,0,0,1,0,0,,,
2018,July,30,15,High,31,31,F,0,T,0.52,NA,1,0,0,1,0,,,
2018,July,30,15,High,NA,17,NA,#VALUE!,I,0.09,NA,NA,0,0,0,1,,,
2018,July,30,15,High,31,35,F,4,M,0.74,NA,1,1,0,0,0,,,
2018,July,30,15,High,31,33,F,2,M,0.57,NA,1,1,0,0,0,,,
2018,July,30,15,High,29,30,F,1,F,0.46,0,0,0,1,0,0,,,
2018,July,30,15,High,32,31,M,-1,M,0.47,NA,0,1,0,0,0,,,
2018,July,30,15,High,27,28,F,1,F,0.41,1,0,0,1,0,0,,,
2018,July,30,15,High,30,34,F,4,T,0.8,NA,1,0,0,1,0,,,
2018,July,30,15,High,28,30,F,2,M,0.47,NA,1,1,0,0,0,,,
2018,July,30,15,High,29,30,F,1,F,0.53,0,0,0,1,0,0,,,
2018,July,30,15,High,25,26,F,1,F,0.34,2,0,0,1,0,0,,,
2018,July,30,16,Medium,NA,20,NA,#VALUE!,M,0.14,NA,NA,1,0,0,0,,,
2018,July,30,16,Medium,27,28,F,1,F,0.4,0,0,0,1,0,0,,,
2018,July,30,16,Medium,28,29,F,1,F,0.4,0,0,0,1,0,0,,,
2018,July,30,16,Medium,28,30,F,2,F,0.45,1,0,0,1,0,0,,,
2018,July,30,16,Medium,30,31,F,1,T,0.54,NA,1,0,0,1,0,,,
2018,July,30,16,Medium,30,30,F,0,F,0.58,1,0,0,1,0,0,,,
2018,July,30,17,Low,23,26,F,3,F,0.37,1,0,0,1,0,0,,,
2018,July,30,17,Low,27,29,F,2,F,0.5,0,0,0,1,0,0,,,
2018,July,30,17,Low,28,29,F,1,F,0.4,0,0,0,1,0,0,,,
2018,July,30,17,Low,30,31,F,1,F,0.54,0,0,0,1,0,0,,,
2018,July,30,17,Low,33,34,M,1,M,0.77,NA,0,1,0,0,0,,,
2018,July,30,18,High,25,27,F,2,F,0.35,0,0,0,1,0,0,,,
2018,July,30,18,High,30,34,F,4,M,0.63,NA,1,1,0,0,0,,,
