Reader,Trial,Reef,Treatment,Read.number.every.5.min,frame.number,IMG.num,Species,Count,Score,Count.zero,Score.zero,"close.on.reef(0-0.275m, 5)","just.outside.of.small.frame.or.on.top(0.276-0.45m, 4)","within.1m.of.cage.far.from.small.cage.at.cage.frame.for.lg.cage(0.46-1m, 3)","between.1and2m.of.cage(1.1-2m, 2)","beyond2m.of.cage(2.1m+, 1)",not.present(0),total.num.images.for.time.lapse,total.time.min,,minimum number of images = 650,6500,108.3333333,1.805555556
GCJ,2,18,Medium,2,120,12920,FHASE,1,1,1,1,,,,,,,,,,,,,
GCJ,2,18,Medium,2,120,12920,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,6,360,44417,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,18,Medium,2,120,12920,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,6,360,44417,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,18,Medium,2,120,12920,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,6,360,44417,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,7,420,44477,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,18,Medium,3,180,12980,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,18,Medium,3,180,12980,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,7,420,44477,HYRU,,,0,0,,,,,,,,,,,,,
