Trial,Date,Week,Day,Reef,Treatment,Density,den.max,den.changed,deployment.day
5,7/19/2018,3,15,12,High,2,2,n,B
5,7/23/2018,3,19,12,High,1,1,n,B
5,7/24/2018,3,20,12,High,1,1,n,B
5,7/27/2018,4,22,12,High,0,0,n,B
5,7/28/2018,4,23,12,High,0,0,n,B
5,7/29/2018,4,24,12,High,0,0,n,B
5,7/31/2018,4,26,12,High,0,0,n,B
5,7/5/2018,1,1,13,Low,10,11,y,B
5,7/7/2018,1,3,13,Low,11,11,n,B
5,7/8/2018,1,4,13,Low,11,11,n,B
5,7/9/2018,1,5,13,Low,7,10,y,B
5,7/10/2018,1,6,13,Low,10,10,n,B
5,7/11/2018,1,6,13,Low,7,7,n,B
5,7/14/2018,2,10,13,Low,6,6,n,B
5,7/15/2018,2,11,13,Low,5,5,n,B
5,7/18/2018,3,14,13,Low,3,3,n,B
5,7/19/2018,3,15,13,Low,2,2,n,B
5,7/23/2018,3,19,13,Low,1,2,y,B
5,7/24/2018,3,20,13,Low,2,2,n,B
5,7/27/2018,4,22,13,Low,1,1,n,B
5,7/28/2018,4,23,13,Low,0,0,n,B
5,7/29/2018,4,24,13,Low,0,0,n,B
5,7/31/2018,4,26,13,Low,0,0,n,B
5,7/5/2018,1,1,14,Medium,11,16,y,B
5,7/7/2018,1,3,14,Medium,15,16,y,B
5,7/8/2018,1,4,14,Medium,15,16,y,B
5,7/9/2018,1,5,14,Medium,16,16,n,B
5,7/10/2018,1,6,14,Medium,14,14,n,B
5,7/11/2018,1,6,14,Medium,6,10,y,B
5,7/14/2018,2,10,14,Medium,9,10,y,B
