Trial,Day,Sample.day,Position,Treatment,Reef,TOL,num_Clutches,Total_Eggs,Total_Nest_area,Initial.density.all,Count_all_fish_final,Count_total_fem_initial,Count_grav_fem_initial,Count_total_fem_final,Count_gravid_fem_final,Avg_total_fem,Avg_grav_female,Eggs_per_total_fem,Eggs_grav_female,Avg_total_fem_whole_fish,Avg_grav_female_whole_fish,Eggs_per_total_fem_whole_fish,Eggs_grav_female_whole_fish,egg_gravid,,
3,7,2,Middle,Medium,7,NA,0,0,NA,20,,15,5,9,3,12,4,0,0,12,4,0,0,0,,
3,7,2,Middle,High,8,NA,0,0,NA,20,,15,5,4,2,9.5,3.5,0,0,10,4,0,0,0,,
3,7,2,Middle,Low,9,5,7,2516,13.584,20,,15,5,5,1,10,3,251.6,838.6666667,10,3,251.6,838.6666667,838.6666667,,
3,7,2,Middle,High,10,1,3,10,NA,20,,15,5,3,0,9,2.5,1.111111111,4,9,3,1.111111111,4,4,,
3,7,2,Middle,Low,11,2,4,10,NA,20,,15,5,4,4,9.5,4.5,1.052631579,2.222222222,10,5,1.052631579,2.222222222,2.222222222,,
3,7,2,Middle,Medium,12,4,3,643,2.55,20,,15,5,2,0,8.5,2.5,75.64705882,257.2,9,3,75.64705882,257.2,257.2,,
3,7,2,Back,Low,13,5,1,805,3.789,20,,15,5,3,1,9,3,89.44444444,268.3333333,9,3,89.44444444,268.3333333,268.3333333,,
3,7,2,Back,High,14,1,5,2944,9.949,20,,15,5,5,0,10,2.5,294.4,1177.6,10,3,294.4,1177.6,1177.6,,
3,7,2,Back,Low,15,2,6,1979,9.43,20,,15,5,5,1,10,3,197.9,659.6666667,10,3,197.9,659.6666667,659.6666667,,
3,7,2,Back,Medium,16,NA,0,0,NA,20,,15,5,4,1,9.5,3,0,0,10,3,0,0,0,,
3,7,2,Back,High,17,2,4,1466,8.758,20,,15,5,4,1,9.5,3,154.3157895,488.6666667,10,3,154.3157895,488.6666667,488.6666667,,
3,7,2,Back,Medium,18,3,NA,0,NA,20,,15,5,4,1,9.5,3,0,0,10,3,0,0,0,,
3,7,2,Back,Medium,18,5,1,41,NA,20,,15,5,4,1,9.5,3,4.315789474,13.66666667,10,3,4.315789474,13.66666667,13.66666667,,
